,Title,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description,Release Year,Release Month,Release Day,Available Globally
0,The Night Agent: Season 1,2023-03-23 00:00:00,812100000,7696,6.0,"['Biography', 'Drama', 'History']","persian empire,empire,5th century b.c.,achaemenid empire,persia",unknown,2023,3,Thursday,Yes
1,Ginny & Georgia: Season 2,2023-01-05 00:00:00,665100000,5216,5.7,"['Comedy', 'Drama', 'Romance']","producer,three word title,headstrong,arranged marriage,mother","The film follows headstrong Ginny who meets Sunny for an arranged marriage, but turns him down, and then shows how Sunny teams up with Ginny&apos;s mother to win her love.",2023,1,Thursday,Yes
2,The Glory: Season 1 // 더 글로리: 시즌 1,2022-12-30 00:00:00,622800000,11869,8.4,['Short'],unknown,unknown,2022,12,Friday,Yes
4,Queen Charlotte: A Bridgerton Story,2023-05-04 00:00:00,503000000,50077,7.4,"['Drama', 'History', 'Romance']","prequel,queen,historical,england,queen charlotte character","Betrothed against her will to King George, young Charlotte arrives in London on her wedding day and faces scrutiny from the monarch&apos;s cunning mother.",2023,5,Thursday,Yes
5,You: Season 4,2023-02-09 00:00:00,440600000,45624,6.6,"['Comedy', 'Romance']","christmas,coming out,holidays,lesbian relationship,lesbian","A holiday romantic comedy that captures the range of emotions tied to wanting your family&apos;s acceptance, being true to yourself, and trying not to ruin Christmas.",2023,2,Thursday,Yes
6,La Reina del Sur: Season 3,2022-12-30 00:00:00,429600000,3323,7.9,"['Action', 'Crime', 'Drama']","telenovela,drug trafficking,cartel,femme fatale,kidnapping",unknown,2022,12,Friday,No
8,Ginny & Georgia: Season 1,2021-02-24 00:00:00,302100000,5216,5.7,"['Comedy', 'Drama', 'Romance']","producer,three word title,headstrong,arranged marriage,mother","The film follows headstrong Ginny who meets Sunny for an arranged marriage, but turns him down, and then shows how Sunny teams up with Ginny&apos;s mother to win her love.",2021,2,Wednesday,Yes
9,FUBAR: Season 1,2023-05-25 00:00:00,266200000,35,7.6,"['Short', 'Comedy']",unknown,Uzo Aduba auditioned for every single role in Orange is the New Black before being cast as Crazy Eyes.,2023,5,Thursday,Yes
13,The Mother,2023-05-12 00:00:00,249900000,44102,5.6,"['Action', 'Thriller']","female protagonist,assassin,daughter,danger,fight","While fleeing from dangerous assailants, an assassin comes out of hiding to protect the daughter she left earlier in life.",2023,5,Friday,Yes
15,Crash Course in Romance: Limited Series // 일타 스캔들: 리미티드 시리즈,2023-01-14 00:00:00,234800000,3963,7.8,"['Comedy', 'Drama', 'Romance']","teacher,tutor,mother daughter relationship,korean,romance drama",Retired ex national team female handball player has become a grocery store owner in order to look after her family while she grapples with her daughter&apos;s tutor&apos;s eating disorder.,2023,1,Saturday,Yes
