,week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,runtime_override_flag,episode_launch_dtls
3680,2023-06-25,Films (English),1,Extraction 2,,87300000,2.0667,42200000.0,2,False,"[{is_staggered_launch=0, is_live_title=0}]",
3681,2023-06-25,Films (English),2,Extraction,,27200000,1.9667,13800000.0,2,False,"[{is_staggered_launch=0, is_live_title=0}]",
3682,2023-06-25,Films (English),3,Take Care of Maya,,16000000,1.7333,9200000.0,1,False,"[{is_staggered_launch=0, is_live_title=0}]",
3683,2023-06-25,Films (English),4,The Perfect Find,,11700000,1.6667,7000000.0,1,False,"[{is_staggered_launch=0, is_live_title=0}]",
3684,2023-06-25,Films (English),5,Paw Patrol: The Movie,,9100000,1.4333,6300000.0,5,False,"[{is_staggered_launch=0, is_live_title=0}]",
3685,2023-06-25,Films (English),6,The Mule,,9200000,1.7,5400000.0,1,False,"[{is_staggered_launch=0, is_live_title=0}]",
3686,2023-06-25,Films (English),7,What Happens in Vegas,,7600000,1.65,4600000.0,2,False,"[{is_staggered_launch=0, is_live_title=0}]",
3687,2023-06-25,Films (English),8,The Boss Baby,,4500000,1.6333,2800000.0,9,False,"[{is_staggered_launch=0, is_live_title=0}]",
3688,2023-06-25,Films (English),9,Get Out,,4100000,1.7333,2400000.0,1,False,"[{is_staggered_launch=0, is_live_title=0}]",
3689,2023-06-25,Films (English),10,47 Ronin,,4700000,2.0167,2300000.0,1,False,"[{is_staggered_launch=0, is_live_title=0}]",
3690,2023-06-25,Films (Non-English),1,Through My Window 2: Across the Sea,,27100000,1.8667,14500000.0,1,False,"[{is_staggered_launch=0, is_live_title=0}]",
3691,2023-06-25,Films (Non-English),2,Make Me Believe,,11400000,1.7333,6600000.0,1,False,"[{is_staggered_launch=0, is_live_title=0}]",
3692,2023-06-25,Films (Non-English),3,Black Clover: Sword of the Wizard King,,7800000,1.8833,4100000.0,2,False,"[{is_staggered_launch=0, is_live_title=0}]",
3693,2023-06-25,Films (Non-English),4,You Do You,,4500000,1.6833,2700000.0,3,False,"[{is_staggered_launch=0, is_live_title=0}]",
3694,2023-06-25,Films (Non-English),5,Through My Window,,4900000,1.9,2600000.0,14,False,"[{is_staggered_launch=0, is_live_title=0}]",
3695,2023-06-25,Films (Non-English),6,iNumber Number: Jozi Gold,,4000000,1.9,2100000.0,1,False,"[{is_staggered_launch=0, is_live_title=0}]",
3696,2023-06-25,Films (Non-English),7,A Beautiful Life,,3200000,1.6667,1900000.0,4,False,"[{is_staggered_launch=0, is_live_title=0}]",
3697,2023-06-25,Films (Non-English),8,The Wonder Weeks,,2500000,1.5167,1600000.0,2,False,"[{is_staggered_launch=0, is_live_title=0}]",
3698,2023-06-25,Films (Non-English),9,Tin & Tina,,3200000,2.0,1600000.0,5,False,"[{is_staggered_launch=0, is_live_title=0}]",
3699,2023-06-25,Films (Non-English),10,THE VILLAGE,,3200000,2.0167,1600000.0,2,False,"[{is_staggered_launch=0, is_live_title=0}]",
3700,2023-06-25,TV (English),1,Black Mirror,Black Mirror: Season 6,60400000,5.2,11600000.0,2,False,"[{is_staggered_launch=0, is_live_title=0}]",
3701,2023-06-25,TV (English),2,Never Have I Ever,Never Have I Ever: Season 4,24600000,4.9167,5000000.0,3,False,"[{is_staggered_launch=0, is_live_title=0}]",
3702,2023-06-25,TV (English),3,Our Planet,Our Planet: II,13600000,3.3833,4000000.0,2,False,"[{is_staggered_launch=0, is_live_title=0}]",
3703,2023-06-25,TV (English),4,Catching Killers,Catching Killers: Season 3,9600000,3.0667,3100000.0,1,False,"[{is_staggered_launch=0, is_live_title=0}]",
3704,2023-06-25,TV (English),5,Suits,Suits: Season 1,27700000,0.0,3000000.0,1,True,"[{is_staggered_launch=1, is_live_title=0}]","[{""episodesLaunched"":12,""countryList"":[""AS"",""CW"",""GQ"",""LB"",""LV"",""PG"",""RE"",""TH"",""ZW"",""DK"",""LS"",""YT"",""AU"",""BO"",""HT"",""KE"",""KG"",""VA"",""GS"",""AM"",""BG"",""CD"",""FM"",""GG"",""GY"",""KI"",""MP"",""QA"",""SO"",""TM"",""CM"",""HU"",""ZM"",""CR"",""EH"",""MW"",""NA"",""TC"",""AI"",""BJ"",""BR"",""DZ"",""GR"",""IS"",""PR"",""VC"",""TT"",""CL"",""GA"",""LY"",""NZ"",""PY"",""SB"",""TV"",""VE"",""HM"",""BD"",""CV"",""GP"",""MC"",""UA"",""TZ"",""AO"",""AW"",""BY"",""CC"",""CF"",""GB"",""ID"",""MQ"",""NP"",""PK"",""PS"",""RS"",""TG"",""US"",""UZ"",""ZA"",""CY"",""FO"",""IE"",""JE"",""LR"",""MD"",""MV"",""NE"",""RW"",""SH"",""BL"",""BM"",""DJ"",""EG"",""GI"",""IM"",""IO"",""MY"",""OM"",""WS"",""BZ"",""GF"",""KR"",""MA"",""NL"",""SL"",""VU"",""JO"",""AR"",""CA"",""MN"",""SA"",""EC"",""BA"",""BF"",""ER"",""ET"",""IQ"",""KZ"",""MZ"",""PN"",""TN"",""TR"",""VI"",""CI"",""EE"",""FK"",""FR"",""GE"",""GM"",""HK"",""KN"",""LC"",""LK"",""MG"",""MH"",""MU"",""PM"",""SE"",""TD"",""ML"",""TL"",""GT"",""IN"",""PH"",""SK"",""VG"",""VN"",""AF"",""AQ"",""BH"",""CZ"",""IT"",""JM"",""KY"",""MM"",""NC"",""ST"",""SZ"",""MR"",""UG"",""AD"",""BN"",""BT"",""CU"",""MS"",""NR"",""PF"",""PL"",""PT"",""SM"",""TO"",""BE"",""AG"",""AZ"",""BI"",""BS"",""CO"",""DO"",""ES"",""GH"",""KH"",""KW"",""ME"",""NG"",""NU"",""RU"",""SN"",""YE"",""AL"",""BB"",""BW"",""CX"",""GD"",""LA"",""NF"",""SS"",""TJ"",""UM"",""WF"",""HN"",""HR"",""NO"",""SV"",""TW"",""FJ"",""GL"",""AE"",""CK"",""GN"",""KM"",""LT"",""PE"",""SC"",""SI"",""SX"",""TK"",""IL"",""MK"",""MO"",""PA"",""UY"",""BQ"",""CG"",""DM"",""GU"",""GW"",""MF"",""MT"",""MX"",""PW"",""RO"",""SR"",""FI"",""NI"",""SG""]},{""episodesLaunched"":13,""countryList"":[""DE"",""JP"",""AT"",""LI""]},{""episodesLaunched"":14,""countryList"":[""LU"",""CH""]}]"
3705,2023-06-25,TV (English),6,85 South: Ghetto Legends,,2700000,0.9,3000000.0,1,False,"[{is_staggered_launch=0, is_live_title=0}]",
3706,2023-06-25,TV (English),7,Arnold,Arnold: Limited Series,7800000,3.1833,2500000.0,3,False,"[{is_staggered_launch=0, is_live_title=0}]",
3707,2023-06-25,TV (English),8,Glamorous,Glamorous: Season 1,17000000,7.45,2300000.0,1,False,"[{is_staggered_launch=0, is_live_title=0}]",
3708,2023-06-25,TV (English),9,Black Mirror,Black Mirror: Season 1,5900000,2.6,2300000.0,1,False,"[{is_staggered_launch=0, is_live_title=0}]",
3709,2023-06-25,TV (English),10,FUBAR,FUBAR: Season 1,15300000,7.1333,2100000.0,5,False,"[{is_staggered_launch=0, is_live_title=0}]",
3710,2023-06-25,TV (Non-English),1,The Surrogacy,The Surrogacy: Season 1,80500000,15.1667,5300000.0,2,False,"[{is_staggered_launch=0, is_live_title=0}]",
