,Title,Available Globally?,Release Date,Hours Viewed
0,The Night Agent: Season 1,Yes,2023-03-23 00:00:00,812100000
1,Ginny & Georgia: Season 2,Yes,2023-01-05 00:00:00,665100000
4,Queen Charlotte: A Bridgerton Story,Yes,2023-05-04 00:00:00,503000000
5,You: Season 4,Yes,2023-02-09 00:00:00,440600000
6,La Reina del Sur: Season 3,No,2022-12-30 00:00:00,429600000
7,Outer Banks: Season 3,Yes,2023-02-23 00:00:00,402500000
8,Ginny & Georgia: Season 1,Yes,2021-02-24 00:00:00,302100000
10,Manifest: Season 4,Yes,2022-11-04 00:00:00,262600000
11,Kaleidoscope: Limited Series,Yes,2023-01-01 00:00:00,252500000
12,Firefly Lane: Season 2,Yes,2022-12-02 00:00:00,251500000
14,Physical: 100: Season 1 // 피지컬: 100: 시즌 1,Yes,2023-01-24 00:00:00,235000000
15,Crash Course in Romance: Limited Series // 일타 스캔들: 리미티드 시리즈,Yes,2023-01-14 00:00:00,234800000
16,Love Is Blind: Season 4,Yes,2023-03-24 00:00:00,229700000
19,Luther: The Fallen Sun,Yes,2023-03-10 00:00:00,209700000
20,Fake Profile: Season 1 // Perfil falso: Temporada 1,No,2023-05-31 00:00:00,206500000
22,Extraction 2,Yes,2023-06-16 00:00:00,201800000
23,"XO, Kitty: Season 1",Yes,2023-05-18 00:00:00,200700000
25,Shadow and Bone: Season 2,Yes,2023-03-16 00:00:00,192900000
26,Outer Banks: Season 1,Yes,2020-04-15 00:00:00,184000000
27,Sweet Tooth: Season 2,Yes,2023-04-27 00:00:00,182300000
28,You People,Yes,2023-01-27 00:00:00,181800000
29,Perfect Match: Season 1,Yes,2023-02-14 00:00:00,176800000
30,Sex/Life: Season 2,Yes,2023-03-02 00:00:00,175500000
31,The Marked Heart: Season 2 // Pálpito: Temporada 2,Yes,2023-04-19 00:00:00,174300000
32,Murder Mystery 2,Yes,2023-03-31 00:00:00,173600000
33,The Surrogacy: Season 1 // Madre de alquiler: Temporada 1,No,2023-06-14 00:00:00,172400000
34,"Pablo Escobar, el patrón del mal: Season 1",Yes,,170100000
35,Never Have I Ever: Season 4,Yes,2023-06-08 00:00:00,168300000
36,Your Place or Mine,Yes,2023-02-10 00:00:00,163000000
38,Emily in Paris: Season 3,Yes,2022-12-21 00:00:00,161100000
39,Alice in Borderland: Season 2 // 今際の国のアリス: シーズン2,Yes,2022-12-22 00:00:00,157600000
40,Alchemy of Souls: Part 1 // 환혼: 파트 1,Yes,2022-06-18 00:00:00,155300000
41,Outer Banks: Season 2,Yes,2021-07-30 00:00:00,153900000
43,Til Money Do Us Part: Season 1 // Hasta que la plata nos separe: Temporada 1,No,2022-10-19 00:00:00,152100000
44,Mr. Queen // 철인왕후,No,,151500000
45,Manifest: Season 1,No,2021-06-10 00:00:00,151400000
46,Alchemy of Souls: Part 2 // 환혼: 파트 2,Yes,2022-12-10 00:00:00,150200000
47,PAW Patrol: Season 6,No,,149300000
51,Glass Onion: A Knives Out Mystery,Yes,2022-12-23 00:00:00,142900000
53,Black Mirror: Season 6,Yes,2023-06-15 00:00:00,139900000
55,The Walking Dead: Season 11,No,,136800000
56,Bridgerton: Season 1,Yes,2020-12-25 00:00:00,136600000
59,The Snow Girl: Season 1 // La chica de nieve: Temporada 1,Yes,2023-01-27 00:00:00,134800000
60,Stranger Things 4,Yes,2022-05-27 00:00:00,133600000
61,The Marked Heart: Season 1 // Pálpito: Temporada 1,Yes,2022-04-20 00:00:00,133500000
62,Bridgerton: Season 2,Yes,2022-03-25 00:00:00,133400000
64,PAW Patrol: Season 5,No,,130700000
65,Pasión de Gavilanes: Season 1,No,,129200000
66,Suits (2011): Season 1,Yes,,129100000
67,Sex/Life: Season 1,Yes,2021-06-25 00:00:00,126400000
