,Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description
0,The Night Agent: Season 1,Yes,2023-03-23,812100000,7696.0,6.0,"['Biography', 'Drama', 'History']","persian empire,empire,5th century b.c.,achaemenid empire,persia",
1,Ginny & Georgia: Season 2,Yes,2023-01-05,665100000,5216.0,5.7,"['Comedy', 'Drama', 'Romance']","producer,three word title,headstrong,arranged marriage,mother","The film follows headstrong Ginny who meets Sunny for an arranged marriage, but turns him down, and then shows how Sunny teams up with Ginny&apos;s mother to win her love."
4,Queen Charlotte: A Bridgerton Story,Yes,2023-05-04,503000000,50077.0,7.4,"['Drama', 'History', 'Romance']","prequel,queen,historical,england,queen charlotte character","Betrothed against her will to King George, young Charlotte arrives in London on her wedding day and faces scrutiny from the monarch&apos;s cunning mother."
5,You: Season 4,Yes,2023-02-09,440600000,45624.0,6.6,"['Comedy', 'Romance']","christmas,coming out,holidays,lesbian relationship,lesbian","A holiday romantic comedy that captures the range of emotions tied to wanting your family&apos;s acceptance, being true to yourself, and trying not to ruin Christmas."
6,La Reina del Sur: Season 3,No,2022-12-30,429600000,3323.0,7.9,"['Action', 'Crime', 'Drama']","telenovela,drug trafficking,cartel,femme fatale,kidnapping",
7,Outer Banks: Season 3,Yes,2023-02-23,402500000,,,,,
8,Ginny & Georgia: Season 1,Yes,2021-02-24,302100000,5216.0,5.7,"['Comedy', 'Drama', 'Romance']","producer,three word title,headstrong,arranged marriage,mother","The film follows headstrong Ginny who meets Sunny for an arranged marriage, but turns him down, and then shows how Sunny teams up with Ginny&apos;s mother to win her love."
10,Manifest: Season 4,Yes,2022-11-04,262600000,,,"['Documentary', 'Short']",,
11,Kaleidoscope: Limited Series,Yes,2023-01-01,252500000,,,,,
12,Firefly Lane: Season 2,Yes,2022-12-02,251500000,,,,,
14,Physical: 100: Season 1 // 피지컬: 100: 시즌 1,Yes,2023-01-24,235000000,,,,,
15,Crash Course in Romance: Limited Series // 일타 스캔들: 리미티드 시리즈,Yes,2023-01-14,234800000,3963.0,7.8,"['Comedy', 'Drama', 'Romance']","teacher,tutor,mother daughter relationship,korean,romance drama",Retired ex national team female handball player has become a grocery store owner in order to look after her family while she grapples with her daughter&apos;s tutor&apos;s eating disorder.
16,Love Is Blind: Season 4,Yes,2023-03-24,229700000,,,,,
19,Luther: The Fallen Sun,Yes,2023-03-10,209700000,60515.0,6.4,"['Crime', 'Drama', 'Mystery']","psychological thriller,serial killer,ice,cybercrime,blackmail",Brilliant but disgraced detective John Luther breaks out of prison to hunt down a sadistic serial killer who is terrorising London.
20,Fake Profile: Season 1 // Perfil falso: Temporada 1,No,2023-05-31,206500000,,,,,
22,Extraction 2,Yes,2023-06-16,201800000,136009.0,7.0,"['Action', 'Thriller']","assassin,rescue,escape,mercenary,prison riot","After barely surviving his grievous wounds from his mission in Dhaka, Bangladesh, Tyler Rake is back, and his team is ready to take on their next mission."
23,"XO, Kitty: Season 1",Yes,2023-05-18,200700000,,,['Short'],,
25,Shadow and Bone: Season 2,Yes,2023-03-16,192900000,111361.0,7.6,"['Action', 'Adventure', 'Drama']","magic,power,young woman,soldier,gay man",Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.
26,Outer Banks: Season 1,Yes,2020-04-15,184000000,76.0,7.1,"['Horror', 'Mystery', 'Sci-Fi']",,
27,Sweet Tooth: Season 2,Yes,2023-04-27,182300000,27.0,8.8,"['Family', 'History', 'Sport']","year in title,2000s,number in title",
28,You People,Yes,2023-01-27,181800000,60853.0,5.5,"['Comedy', 'Romance']","racial tension,black american,couple,love,life",
29,Perfect Match: Season 1,Yes,2023-02-14,176800000,300.0,7.3,['Romance'],"three word title,matchmaker",
30,Sex/Life: Season 2,Yes,2023-03-02,175500000,,,,,
31,The Marked Heart: Season 2 // Pálpito: Temporada 2,Yes,2023-04-19,174300000,8165.0,8.7,"['Drama', 'Horror', 'Thriller']","single player,xbox 360,microsoft windows,playstation 3,graphic adventure","Left to fend for herself, Clementine has been forced to learn how to survive in a world gone mad. Many months have passed and she is in search of safety."
32,Murder Mystery 2,Yes,2023-03-31,173600000,64053.0,5.7,"['Action', 'Comedy', 'Crime']","theft,murder,overnight success,private investigators,private eye",Full-time detectives Nick and Audrey are struggling to get their private eye agency off the ground. They find themselves at the center of international abduction when their friend Maharaja is kidnapped at his own lavish wedding.
